BoutStart,BoutEnd,Trial_ID,Condition,source_file
281,282,F10_post_t2_2025_04_27-01_40_37.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
333,334,F10_post_t2_2025_04_27-01_40_37.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
453,462,F10_post_t2_2025_04_27-01_40_37.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
505,506,F10_post_t2_2025_04_27-01_40_37.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
627,628,F10_post_t2_2025_04_27-01_40_37.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
704,710,F10_post_t2_2025_04_27-01_40_37.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
773,784,F10_post_t2_2025_04_27-01_40_37.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1390,1391,F10_post_t2_2025_04_27-01_40_37.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3607,3608,F10_post_t2_2025_04_27-01_40_37.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3686,3687,F10_post_t2_2025_04_27-01_40_37.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3715,3716,F10_post_t2_2025_04_27-01_40_37.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
18,82,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
134,177,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
252,288,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
351,419,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
496,625,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
672,731,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
787,843,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
894,1006,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1064,1124,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1182,1228,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1287,1638,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1652,1686,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1699,1725,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1764,1800,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1839,2499,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
2518,2939,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
2958,3071,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3118,3159,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3258,3290,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3349,3351,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3378,3422,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3468,3506,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3528,3588,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3618,3651,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3678,3745,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3768,3871,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3889,4014,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
4031,4064,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
4088,4110,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
4131,4182,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
4208,4232,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
4249,4282,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
4329,4409,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
4529,5230,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
5250,5260,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
5280,5282,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
5797,5798,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
5992,5993,F10_pre_t1_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
7,52,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
82,121,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
164,218,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
251,302,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
341,380,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
413,457,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
520,575,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
627,676,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
713,768,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
825,887,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
926,959,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1001,1037,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1094,1132,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1165,1230,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1290,2277,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
2295,2405,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
2424,2475,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
2494,2766,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
2787,2821,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
2867,2880,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
2909,2941,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
2968,2986,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3048,3117,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3158,3159,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3278,3279,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3307,3311,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3337,3340,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3397,3398,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3437,3442,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3497,3498,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3519,3539,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3567,3573,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3656,3680,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3777,3788,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3948,3970,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
4146,4147,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
4187,4188,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
4216,4222,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
4257,4262,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
4318,4328,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
4347,4349,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
4367,4404,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
4467,4475,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
4567,4569,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
4808,4813,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
4857,4862,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
4957,4962,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
4997,5000,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
5048,5072,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
5148,5149,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
5229,5230,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
5507,5513,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
5556,5558,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
5627,5632,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
5952,5958,F10_pre_t2_2025_04_27-01_35_19.h5,es_alone,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3,68,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
82,181,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
209,352,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
386,388,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
412,774,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
787,1092,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1103,1144,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1165,1213,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1229,1250,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1278,1346,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1364,1411,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1430,1437,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1465,1502,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1522,1551,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1567,1592,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1618,1625,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1636,1667,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1695,1710,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1734,1758,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1776,1779,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1804,1814,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1855,1904,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1920,1941,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
1955,2037,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
2069,2084,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
2103,2124,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
2148,2168,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
2204,2290,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
2307,2376,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
2387,2471,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
2483,2873,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
2889,3023,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3041,3078,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3090,3191,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3219,3289,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3302,3572,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3603,3611,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3624,3701,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3714,3768,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3800,3870,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
3902,4147,F11_post_t1_2025_04_27-01_46_18.h5,opto_es,C:\Maha\DATA\electric_stim\tracking_bout_detection\globalParametersInsideCategories.csv
