group,folder,fs_Hz,baseline_start_s,baseline_end_s,baseline_mean_mV,peak_time_s,peak_value_mV,deflection_mV,baseline_pick,baseline_slope_mV_per_s,baseline_std_mV,baseline_score,trace_pdf
Control,C:\Maha\DATA\patch_clamp\Kevin\synaptic_connectivity\control\100624_F1_C1\CC\t1,99999.99996825863,99.81999999999988,100.01999999999988,-62.747359413019566,100.31407999999998,-36.93836329214409,25.808996120875477,good,-0.1287899759088433,0.11655085274941278,0.18094584070383443,C:\Maha\DATA\patch_clamp\Kevin\synaptic_connectivity\Control_adaptivePeak_01.pdf
Control,C:\Maha\DATA\patch_clamp\Kevin\synaptic_connectivity\control\100624_F1_C1\CC\t2,99999.99996825863,98.42999999999917,98.62999999999917,-61.29605885174074,100.32779999999998,-36.461509393324995,24.834549458415744,good,-0.2232645642473495,0.13968976001900052,0.2513220421426753,C:\Maha\DATA\patch_clamp\Kevin\synaptic_connectivity\Control_adaptivePeak_02.pdf
Control,C:\Maha\DATA\patch_clamp\Kevin\synaptic_connectivity\control\100624_F1_C1\CC\t3,99999.99996825863,98.42999999999917,98.62999999999917,-61.55803790888789,100.31906999999998,-35.92725133400909,25.630786574878798,good,-0.16182888026103542,0.06285995252118565,0.14377439265170336,C:\Maha\DATA\patch_clamp\Kevin\synaptic_connectivity\Control_adaptivePeak_03.pdf
Control,C:\Maha\DATA\patch_clamp\Kevin\synaptic_connectivity\control\100624_F2_C1\CC\t1,99999.99996825863,98.8799999999994,99.0799999999994,-60.80401638621712,100.33418999999998,-44.91434305291257,15.88967333330455,good,0.01775648055467707,0.06127873760389152,0.07015697788123006,C:\Maha\DATA\patch_clamp\Kevin\synaptic_connectivity\Control_adaptivePeak_04.pdf
Opsin,C:\Maha\DATA\patch_clamp\Kevin\synaptic_connectivity\opsin\140524_F1_C1\CC\t1,99999.99996825863,99.2699999999996,99.4699999999996,-71.34728803034777,100.33736999999999,-65.7553570157169,5.591931014630873,good,0.0064497296065156,0.03881998151162318,0.04204484631488098,C:\Maha\DATA\patch_clamp\Kevin\synaptic_connectivity\Opsin_adaptivePeak_01.pdf
Opsin,C:\Maha\DATA\patch_clamp\Kevin\synaptic_connectivity\opsin\140524_F1_C1\CC\t3,99999.99996825863,99.80999999999987,100.00999999999988,-70.64255719230734,100.42442999999999,-67.97535854091348,2.6671986513938606,good,-0.005809418410414962,0.09691047478648654,0.09981518399169402,C:\Maha\DATA\patch_clamp\Kevin\synaptic_connectivity\Opsin_adaptivePeak_02.pdf
Opsin,C:\Maha\DATA\patch_clamp\Kevin\synaptic_connectivity\opsin\140524_F1_C1\CC\t4,99999.99996825863,98.93999999999943,99.13999999999943,-68.9302520677859,100.54826999999999,-67.26995298391424,1.6602990838716636,good,0.008011136478289266,0.09486998693600089,0.09887555517514553,C:\Maha\DATA\patch_clamp\Kevin\synaptic_connectivity\Opsin_adaptivePeak_03.pdf
Opsin,C:\Maha\DATA\patch_clamp\Kevin\synaptic_connectivity\opsin\150424_F1_C1\CC\t1,99999.99996825863,98.59999999999926,98.79999999999926,-71.3884987284307,100.39246999999999,-68.12582032189738,3.2626784065333254,good,0.12184535273055655,0.1324096014455682,0.1933322778108465,C:\Maha\DATA\patch_clamp\Kevin\synaptic_connectivity\Opsin_adaptivePeak_04.pdf
