BoutStart (s),BoutEnd (s),BoutDuration (s),IBI (s),AverageFrequency (Hz),InstantaneousFrequencies,Threshold,Condition,Filename,Group,FishID,SourcePath
34.0104,34.0298,0.0194,1.007799999999996,26.413742140965123,"[25.510204081632654, 26.17801047120419, 26.315789473684212, 30.8641975308642, 26.38522427440633, 25.25252525252525, 24.390243902439025]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
34.4112,34.4306,0.0194,0.3813999999999993,24.733289993498957,"[26.525198938992045, 22.62443438914027, 24.93765586034913, 24.390243902439025, 25.188916876574307]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
34.893,35.0942,0.2012,0.4624000000000023,21.742749094812527,"[25.77319587628866, 26.525198938992045, 21.09704641350211, 12.077294685990339, 24.449877750611247, 20.53388090349076]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
44.0806,44.1,0.0194,8.986399999999996,23.61872355446997,"[22.675736961451246, 26.525198938992045, 24.57002457002457, 20.70393374741201]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
44.3442,44.5176,0.1734,0.2441999999999993,21.87539033494583,"[21.50537634408602, 21.598272138228943, 22.52252252252252]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
44.9376,44.997,0.0594,0.4200000000000017,18.050541516245488,[18.050541516245488],0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
45.4218,45.6628,0.241,0.4247999999999976,24.93765586034913,[24.93765586034913],0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
45.9288,45.9494,0.0206,0.2660000000000053,23.3323416411617,"[21.691973969631235, 27.855153203342617, 20.449897750511248]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
46.3262,46.6664,0.3402,0.3768000000000029,18.38521720411484,"[22.72727272727273, 13.123359580052492, 19.305019305019304]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
47.0534,47.2672,0.2138,0.3870000000000004,29.454825826684345,"[30.581039755351682, 28.328611898016998]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
47.5536,47.8634,0.3098,0.2864000000000004,24.725490173840257,"[30.769230769230766, 25.25252525252525, 23.58490566037736, 13.037809647979138, 25.706940874035993, 32.05128205128205, 22.675736961451246]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
48.633,48.819,0.186,0.7696000000000041,28.507974964667877,"[30.769230769230766, 26.246719160104984]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
49.3256,49.345,0.0194,0.5065999999999988,17.998402732842493,"[12.300123001230013, 23.696682464454977]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
49.9248,50.0688,0.144,0.5797999999999988,23.88245972316769,"[22.123893805309734, 25.641025641025642]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
50.8746,50.9406,0.066,0.8057999999999979,25.23570269684259,"[25.906735751295336, 23.809523809523807, 25.974025974025974, 25.25252525252525]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
51.3764,51.4346,0.0582,0.4357999999999933,25.63131050630271,"[20.66115702479339, 24.691358024691358, 29.239766081871345, 27.932960893854748]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
51.8174,51.9408,0.1234,0.382799999999996,22.80106398841957,"[14.04494382022472, 26.109660574412533, 28.248587570621467]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
52.3074,52.4498,0.1424,0.3665999999999982,27.064427356175525,"[20.408163265306122, 35.97122302158274, 24.813895781637715]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
52.8204,52.9566,0.1362,0.370599999999996,23.92344497607656,[23.923444976076556],0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
53.3338,53.3532,0.0194,0.3771999999999949,21.23236257627344,"[25.57544757033248, 27.397260273972606, 12.578616352201257, 16.207455429497568, 16.611295681063122, 20.366598778004075, 25.0, 22.93577981651376, 31.645569620253163, 14.005602240896357]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
63.2482,63.2676,0.0194,9.894999999999996,34.46603037072136,"[26.7379679144385, 42.19409282700422]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
75.0884,75.1078,0.0194,11.820799999999991,24.108900733083207,"[25.77319587628866, 20.66115702479339, 25.125628140703515, 24.875621890547265]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
77.1006,77.4082,0.3076,1.9928000000000023,24.85965583354552,"[22.93577981651376, 26.954177897574123, 25.510204081632654, 24.03846153846154]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
78.1112,78.2658,0.1546,0.703000000000003,25.84503816427476,"[22.123893805309734, 25.77319587628866, 26.246719160104984, 25.06265664160401, 30.674846625766875, 25.188916876574307]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
78.6956,78.818,0.1224,0.4298000000000002,20.920502092050206,[20.920502092050206],0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
79.5394,79.5592,0.0198,0.7214000000000027,25.68740042518885,"[25.25252525252525, 23.64066193853428, 28.169014084507044]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
80.05,80.1546,0.1046,0.490799999999993,25.48976102312424,"[21.459227467811157, 23.364485981308412, 31.645569620253163]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
80.4806,80.675,0.1944,0.3259999999999934,21.03099873254247,"[27.548209366391184, 14.513788098693759]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
81.1012,81.1206,0.0194,0.4262000000000085,26.924561757225806,"[30.674846625766875, 21.929824561403507, 28.169014084507044]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
88.7958,88.989,0.1932,7.675200000000004,26.150342306957967,"[27.548209366391184, 24.752475247524753]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
89.3908,89.5436,0.1528,0.4017999999999944,22.41468174673439,"[13.054830287206267, 28.011204481792713, 26.17801047120419]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
