Source,K value,Median Stability Score
F10,10.5,0.8486966171024048
F11,10.5,0.843568265153245
F12,10.5,0.8835219164424243
F13,10.5,0.8230179072595953
F14,10.5,0.7740231367397359
F2,10.5,0.7756639938926619
F3,10.5,0.8441306620056082
F4,10.5,0.8610435733688434
F5,10.5,0.8550852780006847
F6,10.5,0.8346254782874221
F7,10.5,0.8702179004406422
F8,10.5,0.8220306184086057
F9,10.5,0.8312092935149358
